Member_name,verb_type,Calss ID
abide_by,Verbs of Compliance,abide_by-93.2
follow,Verbs of Compliance,abide_by-93.2
heed,Verbs of Compliance,abide_by-93.2
keep_to,Verbs of Compliance,abide_by-93.2
adhere_to,Verbs of Compliance,abide_by-93.2
observe,Verbs of Compliance,abide_by-93.2
obey,Verbs of Compliance,abide_by-93.2
absorb,Verbs of Absorbing,absorb-39.8
ingest,Verbs of Absorbing,absorb-39.8
take,Verbs of Absorbing,absorb-39.8
accept,Verbs of Accepting,accept-77.1
buy,Verbs of Accepting,accept-77.1
understand,Verbs of Accepting,accept-77.1
encourage,Verbs of Accepting,accept-77.1
accompany,Verbs of Motion,accompany-51.7
conduct,Verbs of Motion,accompany-51.7
escort,Verbs of Motion,accompany-51.7
guide,Verbs of Motion,accompany-51.7
lead,Verbs of Motion,accompany-51.7
misdirect,Verbs of Motion,accompany-51.7
shepherd,Verbs of Motion,accompany-51.7
steer,Verbs of Motion,accompany-51.7
defer,Acquiesce Verbs,acquiesce-95.1
action,Verbs of Action,act-114
carry_out,Verbs of Action,act-114
carry_through,Verbs of Action,act-114
conduct,Verbs of Action,act-114
execute,Verbs of Action,act-114
fulfill,Verbs of Action,act-114
make,Verbs of Action,act-114
cause,Verbs of Action,act-114
engage_in,Verbs of Action,act-114
addict,Addict Verbs,addict-96
bias,Addict Verbs,addict-96
dispose,Addict Verbs,addict-96
incline,Addict Verbs,addict-96
predispose,Addict Verbs,addict-96
slant,Addict Verbs,addict-96
adapt,Verbs of Creation and Transformation,adjust-26.9
accommodate,Verbs of Creation and Transformation,adjust-26.9
conform,Verbs of Creation and Transformation,adjust-26.9
adjust,Verbs of Creation and Transformation,adjust-26.9
gear,Verbs of Creation and Transformation,adjust-26.9
fit,Verbs of Creation and Transformation,adjust-26.9
readjust,Verbs of Creation and Transformation,adjust-26.9
readapt,Verbs of Creation and Transformation,adjust-26.9
assimilate,Verbs of Creation and Transformation,adjust-26.9
abhor,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
admire,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
adore,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
affirm,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
appreciate,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
applaud,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
bear,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
believe,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
bewail,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
cherish,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
deify,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
deplore,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
despise,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
distrust,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
detest,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
dread,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
enjoy,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
envy,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
esteem,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
exalt,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
execrate,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
fancy,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
favor,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
grudge,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
idolize,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
lament,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
loathe,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
miss,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
mistrust,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
mourn,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
pity,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
prefer,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
prize,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
reaffirm,"Psych-Verbs (Verbs of Psychological
State)",admire-31.2
